State,State Abbreviation,State FIPS Code,Face mask mandate end for vaccinated and/or unvaccinated,Face mask mandate resumed after June 2021,Face mask mandate resumed after June 2021 with exemptions,Face mask mandate resumed after June 2021 x2,Face mask mandate ended after June 2021,Face mask mandate ended after June 2021 x2,Face mask mandate currently in place,Face mask mandate in schools for 2021-22 school year,Banned school face mask mandates,Banned other local face mask mandates,Judicial decision blocked state from enforcing bans on mask mandates in schools,,Notes
Alabama,AL,1,4/9/2021,0,0,0,0,0,0,0,0,0,0,,
Alaska,AK,2,5/22/2021,0,0,0,0,0,0,0,0,0,0,,
Arizona,AZ,4,3/25/2021,0,0,0,0,0,0,0,6/30/2021,3/25/2021,9/26/2021,,
Arkansas,AR,5,3/30/2021,0,0,0,0,0,0,0,4/28/2021,4/28/2021,8/7/2021,,
California,CA,6,6/15/2021,12/15/2021,0,0,2/15/2022,0,0,8/2/2021,0,0,0,,
Colorado,CO,8,5/15/2021,0,0,0,0,0,0,0,0,0,0,,
Connecticut,CT,9,5/19/2021,0,0,0,0,0,0,8/7/2021,0,0,0,,
Delaware,DE,10,5/21/2021,1/11/2022,0,0,2/11/2022,0,0,8/16/2021,0,0,0,,
District of Columbia,DC,11,5/17/2021,7/31/2021,0,12/21/2021,11/22/2021,3/1/2022,0,7/31/2021,0,0,0,,
Florida,FL,12,5/4/2021,0,0,0,0,0,0,0,7/30/2021,7/1/2021,9/8/2021,,
Georgia,GA,13,5/1/2021,0,0,0,0,0,0,0,0,8/19/2021,0,,
Hawaii,HI,15,3/26/2022,0,0,0,3/26/2022,0,0,7/30/2021,0,0,0,,
Idaho,ID,16,0,0,0,0,0,0,0,0,0,0,0,,
Illinois,IL,17,6/11/2021,8/30/2021,0,0,2/28/2022,0,0,8/4/2021,0,0,0,,
Indiana,IN,18,4/6/2021,0,0,0,0,0,0,0,0,0,0,,
Iowa,IA,19,2/7/2021,0,0,0,0,0,0,0,5/20/2021,5/20/2021,9/13/2021,,
Kansas,KS,20,4/1/2021,0,0,0,0,0,0,0,0,0,0,,
Kentucky,KY,21,5/13/2021,0,0,0,0,0,0,0,0,0,0,,
Louisiana,LA,22,4/28/2021,8/4/2021,0,0,10/27/2021,0,0,8/4/2021,0,0,0,,
Maine,ME,23,5/24/2021,0,0,0,0,0,0,0,0,0,0,,
Maryland,MD,24,5/15/2021,0,0,0,0,0,0,0,0,0,0,,
Massachusetts,MA,25,5/29/2021,0,0,0,0,0,0,8/24/2021,0,0,0,,
Michigan,MI,26,5/15/2021,0,0,0,0,0,0,0,0,0,0,,
Minnesota,MN,27,5/14/2021,0,0,0,0,0,0,0,0,0,0,,
Mississippi,MS,28,9/30/2020,0,0,0,0,0,0,0,0,0,0,,
Missouri,MO,29,0,0,0,0,0,0,0,0,0,0,0,,
Montana,MT,30,2/12/2021,0,0,0,0,0,0,0,0,5/7/2021,0,,
Nebraska,NE,31,0,0,0,0,0,0,0,0,0,0,0,,
Nevada,NV,32,5/13/2021,0,7/30/2021,0,2/10/2022,0,0,0,0,0,0,,NV - Face mask policy linked to county-level COVID-19 transmission; mandate applies to counties with substantial or high COVID-19 transmission rates
New Hampshire,NH,33,4/16/2021,0,0,0,0,0,0,0,0,0,0,,
New Jersey,NJ,34,5/28/2021,0,0,0,0,0,0,8/9/2021,0,0,0,,
New Mexico,NM,35,5/14/2021,8/20/2021,0,0,2/17/2022,0,0,8/20/2021,0,0,0,,NM - Face mask mandate for elementary schools only for 2021-22 school year
New York,NY,36,5/19/2021,0,12/13/2021,0,2/9/2022,0,0,8/27/2021,0,0,0,,NY - Indoor public places with vaccine requirement are exempt from December 2021 mask policy 
North Carolina,NC,37,5/14/2021,0,0,0,0,0,0,0,0,0,0,,
North Dakota,ND,38,1/18/2021,0,0,0,0,0,0,0,0,4/22/2021,0,,
Ohio,OH,39,5/14/2021,0,0,0,0,0,0,0,0,0,0,,
Oklahoma,OK,40,0,0,0,0,0,0,0,0,7/1/2021,0,9/1/2021,,
Oregon,OR,41,5/13/2021,8/13/2021,0,0,3/12/2022,0,0,7/29/2021,0,0,0,,OR - Face mask mandate for public schools only for 2021-22 school year
Pennsylvania,PA,42,5/13/2021,0,0,0,0,0,0,9/7/2021,0,0,0,,
Rhode Island,RI,44,5/18/2021,0,12/20/2021,0,2/11/2022,0,0,8/19/2021,0,0,0,,RI - Venues with capacity less than 250 people are exempt from December 2021 mask policy
South Carolina,SC,45,5/11/2021,0,0,0,0,0,0,0,5/11/2021,5/11/2021,9/28/2021,,
South Dakota,SD,46,0,0,0,0,0,0,0,0,0,0,0,,
Tennessee,TN,47,0,0,0,0,0,0,0,0,8/16/2021,0,9/3/2021,,
Texas,TX,48,3/10/2021,0,0,0,0,0,0,0,6/5/2021,5/18/2021,8/25/2021,,
Utah,UT,49,4/10/2021,0,0,0,0,0,0,0,5/28/2021,0,0,,
Vermont,VT,50,5/14/2021,0,0,0,0,0,0,0,0,0,0,,
Virginia,VA,51,5/15/2021,0,0,0,0,0,0,7/27/2021,0,0,0,,
Washington,WA,53,5/13/2021,8/23/2021,0,0,3/12/2022,0,0,7/28/2021,0,0,0,,
West Virginia,WV,54,5/14/2021,0,0,0,0,0,0,0,0,0,0,,
Wisconsin,WI,55,3/31/2021,0,0,0,0,0,0,0,0,0,0,,
Wyoming,WY,56,3/16/2021,0,0,0,0,0,0,0,0,0,0,,
Total,,,45,8,3,1,12,1,0,16,9,9,8,,