State,sum_of_tot_deaths,sum_of_prob_cases,sum_of_tot_cases
AK,1356,0,284076
AL,20526,446249,1530803
AR,12386,0,956424
AZ,31455,283539,2277635
CA,95604,850445,11309237
CO,13373,161610,1665451
CT,11420,99299,907038
DE,3136,28831,311538
FL,82065,0,7145833
GA,40448,669496,2913382
HI,1687,0,349598
IA,10152,0,861010
ID,5198,114527,498082
IL,39867,0,3789532
IN,24816,0,1930022
KS,9590,227146,883063
KY,17225,521144,1602636
LA,18136,0,1459308
MA,21841,174853,2069848
MD,15497,0,1261834
ME,2629,82910,294927
MI,39092,393436,2874009
MN,13738,0,1676151
MO,21600,0,1660094
MS,12945,431219,930438
MT,3566,74949,312863
NC,26923,561966,3229459
ND,2387,71573,271085
NE,4559,164193,540345
NH,2721,0,354443
NJ,34834,424591,2773961
NM,8601,0,623179
NV,11536,65932,850204
NY,71577,457421,6187620
OH,40037,763762,3162278
OK,14924,347632,1205519
OR,8622,0,902319
PA,47442,581224,3280190
RI,3681,0,408139
SC,18527,392513,1718563
SD,3046,0,262837
TN,28017,614411,2351660
TX,89429,0,7902489
UT,5034,0,1041651
VA,22057,616291,2106527
VT,700,0,133845
WA,14464,0,1828918
WI,15374,225965,1884206
WV,7479,140972,605012
WY,1906,38953,178032